docid;rank_score;fqcategory;mes:key;title;mes:key;mes:group
13577;0;BestBets:jhuedu-suggestions;dTk9CcBqtHv+c7Y2AyUYNw==;Krieger School of Arts & Sciences;dTk9CcBqtHv+c7Y2AyUYNw==;
13507;0;BestBets:jhuedu-suggestions;e2ZOUquPk1zEWGrsGOIH3A==;Human Resources;e2ZOUquPk1zEWGrsGOIH3A==;
13593;0;BestBets:jhuedu-suggestions;e6/R+Z5DysKHBaGnRW6D1A==;Technology Store;e6/R+Z5DysKHBaGnRW6D1A==;
13600;0;BestBets:jhuedu-suggestions;ef4kLUFPuR1NFaupKl6xAg==;Talent Management and Organization Development;ef4kLUFPuR1NFaupKl6xAg==;
13537;0;BestBets:jhuedu-suggestions;fE+SdsdWdHmk9kbT/Wh64w==;Research Administration;fE+SdsdWdHmk9kbT/Wh64w==;
13621;0;BestBets:jhuedu-suggestions;h522cTwqffo9Gf4GySCcZA==;Homewood Student Affairs;h522cTwqffo9Gf4GySCcZA==;
31214;0;Web:jhuedu-singlepages;http://academiccouncil.jhu.edu/;Homewood Academic Council;http://academiccouncil.jhu.edu/;
31899;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/;Accessibility at Johns Hopkins University;http://accessibility.jhu.edu/;
20867;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/accommodations/;Accommodations;http://accessibility.jhu.edu/accommodations/;
22851;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/accommodations/employee-accommodations/;Employee Accommodations;http://accessibility.jhu.edu/accommodations/employee-accommodations/;
19560;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/accommodations/guest-and-visitor-accommodations/;Guest and Visitor Accommodations;http://accessibility.jhu.edu/accommodations/guest-and-visitor-accommodations/;
23834;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/accommodations/student-accommodations/;Student Accommodations;http://accessibility.jhu.edu/accommodations/student-accommodations/;
19329;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/contact/;Contact the Accessibility Initiative;http://accessibility.jhu.edu/contact/;
16552;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/;Electronic and Information Technology;http://accessibility.jhu.edu/electronic-information-technology/;
19062;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/accessible-powerpoint-template/;Accessible PowerPoint Template;http://accessibility.jhu.edu/electronic-information-technology/accessible-powerpoint-template/;
20046;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/checklist-for-making-accessible-ms-office-and-pdf-documents/;Checklist for Making Accessible MS Office and PDF Documents;http://accessibility.jhu.edu/electronic-information-technology/checklist-for-making-accessible-ms-office-and-pdf-documents/;
19923;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/eitlearningresources/;EIT Learning Resources;http://accessibility.jhu.edu/electronic-information-technology/eitlearningresources/;
19770;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/faqs-on-eit/;FAQs on EIT;http://accessibility.jhu.edu/electronic-information-technology/faqs-on-eit/;
18062;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/;Getting Started Creating Accessible EIT;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/;
20992;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/accessibility-starter-guide-for-website-builders/;Accessibility Starter Guide for Website Builders;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/accessibility-starter-guide-for-website-builders/;
18082;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/best-practices-on-eit/;Best Practices on EIT;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/best-practices-on-eit/;
20025;0;Web:jhuedu-initiative-sites;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/how-to-check-your-eit-for-non-mouse-navigability/;How to Check Your EIT for Non-Mouse Navigability;http://accessibility.jhu.edu/electronic-information-technology/getting-started-creating-accessible-eit/how-to-check-your-eit-for-non-mouse-navigability/;
